v1,v2
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,I'm in a movie... Collect car oredi...
ham,Ok...
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,I love your ass! Do you enjoy doggy style? :)
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,"Geeeee ... Your internet is really bad today, eh ?"
spam,You have 1 new message. Please call 08712400200.
ham,You said not now. No problem. When you can. Let me know.
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,"Sorry, I'll call later"
ham,Left dessert. U wan me 2 go suntec look 4 u?
ham,Send me your resume:-)
ham,If you don't respond imma assume you're still asleep and imma start calling n shit
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,This phone has the weirdest auto correct.
ham,U too...
ham,Is toshiba portege m100 gd?
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,Dont know you bring some food
ham,I cant pick the phone right now. Pls send a message
ham,Update your face book status frequently :)
ham,Hmmm:)how many players selected?
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,Just finished. Missing you plenty
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,I tot u reach liao. He said t-shirt.
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
ham,Was playng 9 doors game and gt racing on phone lol
ham,"The table's occupied, I'm waiting by the tree"
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Cause I'm not freaky lol
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Daddy will take good care of you :)
ham,I accidentally deleted the message. Resend please.
ham,Thanks for loving me so. You rock
ham,Its a great day. Do have yourself a beautiful one.
ham,Ok lor.
ham,One small prestige problem now.
ham,S but mostly not like that.
ham,"Yeah, probably here for a while"
spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\"""""
ham,Haf u eaten? Wat time u wan me 2 come?
ham,Gud ni8.swt drms.take care
ham,Can. Dunno wat to get 4 her...
ham,Cheers for the card ... Is it that time of year already?
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,Okie Ì_ wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,Anything lar then Ì_ not going home 4 dinner?
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,S'fine. Anytime. All the best with it.
ham,We still on for tonight?
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,I know she called me
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,Omg how did u know what I ate?
ham,When you came to hostel.
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
ham,Im good! I have been thinking about you...
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,Argh why the fuck is nobody in town ;_;
ham,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
ham,Will do. Have a good day
ham,When i have stuff to sell i.ll tell you
ham,"sorry, no, have got few things to do. may be in pub later."
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Who's there say hi to our drugdealer
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,"Tonight? Yeah, I'd be down for that"
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham,I think it's all still in my car
ham,I'm not sure if its still available though
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,You call him now ok i said call him
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham,Are you willing to go for aptitude class.
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,How much for an eighth?
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,", how's things? Just a quick question."
ham,Arun can u transfr me d amt
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Jus finished avatar nigro
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
ham,IM GONNA MISS U SO MUCH
ham,Dear good morning now only i am up
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,Rofl betta invest in some  anti aging products
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. "
ham,Here got lots of hair dresser fr china.
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
spam,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,Have you always been saying welp?
ham,Whos this am in class:-)
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,Tell them no need to investigate about me anywhere.
ham,Networking technical support associate.
ham,Just taste fish curry :-P
ham,Yeah that'd pretty much be the best case scenario
ham,I'm in inside office..still filling forms.don know when they leave me.
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
ham,What makes you most happy?
ham,Can Ì_ send me a copy of da report?
ham,I have lost 10 kilos as of today!
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,Ok can...
ham,That's significant but dont worry.
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham,Small problem in auction:)punj now asking tiwary
ham,K...k...when will you give treat?
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,They finally came to fix the ceiling.
ham,They r giving a second chance to rahul dengra.
ham,"I've got ten bucks, jay is being noncomittal"
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
ham,What happen to her tell the truth
ham,Can not use foreign stamps in this country. Good lecture .
ham,May b approve panalam...but it should have more posts..
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,He didn't see his shadow. We get an early spring yay
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,"K, I might come by tonight then if my class lets out early"
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,How come she can get it? Should b quite diff to guess rite...
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,Just now saw your message.it k da:)
ham,Taka lor. Wat time u wan 2 come n look 4 us?
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
ham,I gotta collect da car at 6 lei.
ham,The new deus ex game comin early next yr
ham,Ok...
ham,I have to take exam with march 3
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
ham,it's really getting me down just hanging around.
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,"I'm a guy, browsin is compulsory"
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,Thank you princess! I want to see your nice juicy booty...
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Hey gals...U all wanna meet 4 dinner at nÌÂte? 
spam,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,Sorry da. I gone mad so many pending works what to do.
ham,K.i will send in  &lt;#&gt;  min:)
ham,Ok i juz receive..
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,So u workin overtime nigpun?
ham,Fuck cedar key and fuck her (come over anyway tho)
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
ham,Sorry completely forgot * will pop em round this week if your still here?
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Stop knowing me so well!
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,Anything lor... U decide...
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
spam,Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,Do well :)all will for little time. Thing of good times ahead:
ham,Don know..he is watching film in computer..
ham,Did he just say somebody is named tampa
spam,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,Buy one egg for me da..please:)
spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069154"
ham,Ryder unsold.now gibbs.
ham,Hey r Ì_ still online? I've finished the formatting...
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
ham,Are you still getting the goods.
ham,Shant disturb u anymore... Jia you...
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,Apo all other are mokka players only
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,Any pain on urination any thing else?
ham,"Oh... Icic... K lor, den meet other day..."
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
ham,"alright, I'll make sure the car is back tonight"
ham,Lol no. U can trust me.
ham,"As usual..iam fine, happy &amp; doing well..:)"
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
ham,I'm leaving my house now...
ham,Mine here like all fr china then so noisy.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,How long does applebees fucking take
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
ham,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*"
ham,Are you this much buzy
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
ham,Sday only joined.so training we started today:)
ham,Well i know Z will take care of me. So no worries.
ham,K..k.:)congratulation ..
ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
ham,Also remember the beads don't come off. Ever.
ham,"Gumby's has a special where a  &lt;#&gt; \ cheese pizza is $2 so I know what we're doin tonight"""
ham,Then i buy.
ham,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
ham,No. I.ll meet you in the library
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,get ready to moan and scream :)
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,"K, if u bored up just come to my home.."
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,I AM AT THE GAS STATION. GO THERE.
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,But i haf enuff space got like 4 mb...
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,No message..no responce..what happend?
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,I was just callin to say hi. Take care bruv!
ham,"When you get free, call me"
ham,So what u doing today?
ham,Still in customer place
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Will it help if we propose going back again tomorrow
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,Howz that persons story
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,"I'm back, lemme know when you're ready"
ham,We are both fine. Thanks
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,Hi my email address has changed now it is 
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
ham,K..k...from tomorrow onwards started ah?
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )"
ham,Nah dub but je still buff
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,Both :) i shoot big loads so get ready!
ham,Haven't left yet so probably gonna be here til dinner
ham,K.k:)when are you going?
ham,Oooh I got plenty of those!
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx
ham,"Fair enough, anything going on?"
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
ham,Ok lor. I'm in town now lei.
ham,K still are you loving me.
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
spam,88800 and 89034 are premium phone services call 08718711108
ham,"Ya ok, then had dinner?"
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,"K I'm leaving soon, be there a little after 9"
ham,How? Izzit still raining?
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
ham,Jus came back fr lunch wif my sis only. U leh?
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
ham,Serious? What like proper tongued her
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Shb b ok lor... Thanx...
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
ham,Oh god..taken the teeth?is it paining
ham,Jos ask if u wana meet up?
ham,Mom wants to know where you at
ham,Want to send me a virtual hug?... I need one
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,K.:)you are the only girl waiting in reception ah?
ham,I plane to give on this month end.
ham,So dont use hook up any how
ham,Its a part of checking IQ
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,:-) :-)
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,Yunny... I'm goin to be late
ham,Okie...
ham,Am going to take bath ill place the key in window:-)
ham,Talk to g and x about that
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,Lara said she can loan me  &lt;#&gt; .
ham,Man this bus is so so so slow. I think you're gonna get there before me
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub
ham,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
ham,Dude got a haircut. Now its breezy up there
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
ham,K...k:)why cant you come here and search job:)
ham,The battery is for mr adewale my uncle. Aka Egbon
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,Where do you need to go to get it?
ham,have * good weekend.
ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
ham,All e best 4 ur exam later.
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Do you like Italian food?
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Waiting for your call.
